Designator,Mid X,Mid Y,Rotation,Layer
C1,150.45,-104.45,270.0,top
C10,137.0,-94.65,270.0,top
C11,163.4,-87.2,90.0,top
C12,162.325,-96.9625,0.0,top
C13,162.35,-95.2875,0.0,top
C14,149.25,-98.2,90.0,top
C15,146.3,-98.15,90.0,top
C16,146.3,-96.5375,90.0,bottom
C17,144.7,-96.5375,90.0,bottom
C18,144.7,-100.0375,270.0,bottom
C19,146.3,-100.0375,270.0,bottom
C2,159.2,-106.65,0.0,top
C20,164.7,-107.0625,0.0,top
C21,164.7,-105.3625,0.0,top
C22,134.1,-110.85,90.0,top
C23,161.2,-110.45,90.0,top
C24,139.7,-101.6,270.0,top
C3,145.65,-108.75,90.0,top
C4,148.85,-108.75,270.0,top
C5,137.0,-110.55,180.0,top
C6,158.4,-111.25,0.0,top
C7,135.2,-84.25,270.0,top
C8,137.0,-84.25,270.0,top
C9,132.4625,-85.35,180.0,top
D1,153.5,-103.5,0.0,top
D2,142.2,-109.65,0.0,top
D3,153.2,-109.65,0.0,top
D4,154.9,-97.75,0.0,top
J1,147.75,-119.65,0.0,top
J3,130.575,-105.15,90.0,top
Q1,142.2,-112.75,90.0,top
Q2,153.2,-112.75,90.0,top
R1,147.25,-108.75,270.0,top
R10,136.1,-90.45,180.0,top
R11,133.0,-93.85,0.0,top
R12,136.1,-92.15,180.0,top
R13,158.3,-97.1625,90.0,top
R14,140.2,-85.5,270.0,bottom
R15,158.4,-90.1,90.0,top
R16,159.4,-86.0,180.0,top
R18,136.3125,-106.7,0.0,top
R19,136.3,-108.3,180.0,top
R2,156.6,-106.05,90.0,top
R20,138.0,-104.7,180.0,top
R21,141.0,-98.2,270.0,top
R22,165.2,-102.75,90.0,top
R23,152.7,-84.6,180.0,bottom
R3,157.5125,-103.45,0.0,top
R4,149.5,-119.5,270.0,bottom
R5,146.5,-119.5,270.0,bottom
R6,139.6,-113.95,90.0,top
R7,155.8,-113.95,90.0,top
R8,146.4,-104.25,180.0,top
R9,132.4,-83.25,0.0,top
SW1,137.5,-119.61,0.0,top
SW2,158.05,-119.51,0.0,top
U1,153.35,-106.6,180.0,top
U10,162.95,-102.7626,90.0,top
U2,147.75,-112.65,270.0,top
U3,137.0,-113.55,90.0,top
U4,158.8,-113.95,180.0,top
U5,147.75,-89.25,0.0,top
U6,162.325,-91.6125,0.0,top
U7,136.7,-101.4,180.0,top
U8,143.65,-98.25,0.0,top
U9,149.5,-96.0,0.0,bottom
